Country,Text
Michigan,"""corporation"", ""company"", ""incorporated"", or ""limited"" or shall contain 1 of the following abbreviations, corp., co., inc., or ltd."
Minnesota,"nonprofit corporations are not required to use any of these words; for business corporations, they must use ""corporation"", ""incorporated"", or ""limited"", or shall contain an abbreviation of one or more of these words, or the word ""company"" or the abbreviation ""Co."" if that word or abbreviation is not immediately preceded by the word ""and"" or the character ""&"""
Mississippi,"""corporation"", ""incorporated"", ""company"" or ""limited"", or the abbreviation ""corp."", ""inc."", ""co."" or ""ltd."" or words or abbreviations of like import in another language"
Missouri,"""corporation"", ""company"", ""incorporated"", or ""limited"", or shall end with an abbreviation of one of said words"
Montana,"""corporation"", ""incorporated"", ""company"", or ""limited""; the abbreviation ""corp."", ""inc."", ""co."", or ""ltd.""; or words or abbreviations of similar meaning in another language"
Nebraska,"corporation, incorporated, company, or limited, or the abbreviation corp., inc., co., or ltd., or words or abbreviations of like import in another language, except that a corporation organized to conduct a banking business under the Nebraska Banking Act may use a name which includes the word bank without using any such words or abbreviations"
Nevada,"No specific requirements stated except that a name appearing to be that of a natural person and containing a given name or initials must not be used as a corporate name except with an additional word or words such as ""Incorporated"", ""Limited"", ""Inc."", ""Ltd."", ""Company"", ""Co."", ""Corporation"", ""Corp."", or other word which identifies it as not being a natural person"
New Hampshire,"Contain the word ""corporation"", ""incorporated"", or ""limited"" or the abbreviation ""corp."", ""inc."", or ""ltd."""
New Jersey,"Shall contain the word ""corporation"", ""company"", ""incorporated"", or shall contain an abbreviation of one of those words, or shall include the abbreviation Ltd."
New Mexico,"contain the separate word ""corporation"", ""company"", ""incorporated"" or ""limited"" or shall contain a separate abbreviation of one of these words"
New York,"Shall contain the word ""corporation"", ""incorporated"" or ""limited"", or an abbreviation of one of such words; there is also a long list of words a business corporation is not allowed to use without additional approval from other agencies including ""board of trade"", ""state police"", ""urban development"", ""chamber of commerce"", ""state trooper"", ""urban relocation"", ""community renewal"", ""tenant relocation"", ""acceptance"", ""endowment"", ""loan"", ""annuity"", ""fidelity"", ""mortgage"", ""assurance"", ""finance"", ""savings"" and many others"
North Carolina,"Acorporationmust contain the word ""corporation"", ""incorporated"", ""company"", or ""limited"", or the abbreviation ""corp."", ""inc."", ""co."", or ""ltd.""; alimited liability companymust contain the words ""limited liability company"" or the abbreviation ""L.L.C."" or ""LLC"", or the combination ""ltd. liability co."", ""limited liability co."", or ""ltd. liability company""; alimited partnershipthat is not a limited liability limited partnership must contain the words ""limited partnership"", the abbreviation ""L.P."" or ""LP"", or the combination ""ltd. partnership""; alimited liability limited partnershipmust contain the words ""registered limited liability limited partnership"" or ""limited liability limited partnership"" or the abbreviation ""L.L.L.P."", ""R.L.L.L.P."", ""LLLP"", or ""RLLLP""; aregistered limited liability partnership's name must contain the words ""registered limited liability partnership"" or ""limited liability partnership"" or the abbreviation ""L.L.P."", ""R.L.L.P."", ""LLP"" or ""RLLP""."
North Dakota,"Must contain the word ""company"", ""corporation"", ""incorporated"", ""limited"", or an abbreviation of one or more of these words; may not contain the words ""limited liability company"", ""limited partnership"", ""limited liability partnership"", ""limited liability limited partnership"", or any abbreviation of these words."
Ohio,"It shall end with or include the word or abbreviation ""company"", ""co."", ""corporation"", ""corp."", ""incorporated"", or ""inc."""
Oklahoma,"The name of the corporation which shall contain one of the words ""association"", ""company"", ""corporation"", ""club"", ""foundation"", ""fund"", ""incorporated"", ""institute"", ""society"", ""union"", ""syndicate"", or ""limited"" or abbreviations thereof, with or without punctuation"
Oregon,"For private corporations it shall contain one or more of the words ""corporation"", ""incorporated"", ""company"" or ""limited"" or an abbreviation of one or more of those words; shall not contain the word ""cooperative"". For non-profit corporations there is no specific requirement except the name cannot imply a purpose not dictated in its articles of incorporation and cannot contain the word ""cooperative"" or the phrase ""limited partnership."""
Pennsylvania,"Corporation, Corp., Company, Co., Incorporated, Inc., Limited, Ltd., Association., Fund., Syndicate or words or abbreviations of like import in languages other than English"
Puerto Rico,"Corporation, Corp. or Inc., or words or abbreviations of like import in other languages, provided they are written in roman letters or characters"
Rhode Island,"""corporation"", ""company"", ""incorporated"", or ""limited"", or an abbreviation of one of these words"
South Carolina,"""corporation"", ""incorporated"", ""company"", or ""limited"", the abbreviation ""corp."", ""inc."", ""co."", or ""ltd."", or words or abbreviations of like import in another language"
South Dakota,"corporation, incorporated, company, or limited, or the abbreviation, corp., inc., co., or ltd., or terms or abbreviations of like import in another language"
Tennessee,"""corporation"", ""incorporated"", ""company"", or the abbreviation ""corp."", ""inc."", ""co."", or words or abbreviations of like import in another language (provided they are written in Roman characters or letters); existing corporations which were formed using only ""limited"" or ""ltd"" are not required to change their name"
Texas,"""company"", ""corporation"", ""incorporated"", or ""limited"", or an abbreviation of one of those words."
U.S. Virgin Islands,name shall be such as to indicate that it is a corporation as distinguished from a natural person or partnership.
Utah,"""corporation"", ""incorporated"", ""company""; the abbreviation: ""corp."", ""inc."" or ""co."" or words or abbreviations of like import to the words or abbreviations listed in another language; without the written consent of the United States Olympic Committee, may not contain the words ""Olympic"", ""Olympiad"", or ""Citius Altius Fortius""; without the written consent of the Division of Consumer Protection may not contain the words ""university"", ""college"" or ""institute"""
Vermont,"""corporation"", ""incorporated"", ""company"", or ""limited"", or the abbreviation ""corp."", ""inc."", ""co."", or ""ltd."", or words or abbreviations of like import in another language; shall not have the word ""cooperative"" or any abbreviation thereof as part of its name unless the corporation is a worker cooperative corporation"
Virginia,"""corporation"", ""incorporated"", ""company"", or ""limited"", or the abbreviation ""corp."", ""inc."", ""co."", or ""ltd."""
Washington,"""corporation"", ""incorporated"", ""company"", or ""limited"", or the abbreviation ""corp."", ""inc."", ""co."", or ""ltd.""; must not include ""Bank"", ""banking"", ""banker"", ""trust"", ""cooperative"", or any combination of the words ""industrial"" and ""loan"", or any combination of any two or more of the words ""building"", ""savings"", ""loan"", ""home"", ""association"", and ""society"""
West Virginia,"""corporation"", ""incorporated"", ""company"" or ""limited"", or the abbreviation ""corp."", ""inc."", ""co."" or ""ltd."", or words or abbreviations of like import in another language"
Wisconsin,"""corporation"", ""incorporated"", ""company"" or ""limited"" or the abbreviation ""corp."", ""inc."", ""co."" or ""ltd."" or words or abbreviations of like import in another language"
Wyoming,"Unclear; apparently any of ""corporation"", ""company"", ""incorporated"", and probably the usual abbreviations of ""Corp."" ""Co."" and ""Inc."""
